"WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_003","WMS_53_WATER_003","WMS_53_WATER_003"
351.82,63260.65,60821.29,351.82,63260.65,58056.68,351.82,63260.65,56267.82,351.82,63260.65,59520.3,351.82,12759.31,2977.17,351.82,12759.31,1589.32,351.82,12759.31,635.17,351.82,12759.31,7638.8,351.82,4568,80,351.82,4568,77,351.82,4568,88,351.82,4568,2394
353.57,69202.9,66319.44,353.57,69202.9,63775.22,353.57,69202.9,62248.68,353.57,69202.9,65471.37,353.57,14201.14,3197.61,353.57,14201.14,1704.61,353.57,14201.14,702.42,353.57,14201.14,8628.84,353.57,4864,85,353.57,4864,82,353.57,4864,90,353.57,4864,2576
355.32,76155.25,72959.92,355.32,76155.25,70297.15,355.32,76155.25,68521.97,355.32,76155.25,71894.81,355.32,15145,3347.09,355.32,15145,1780.37,355.32,15145,744.79,355.32,15145,9364.74,355.32,5144,91,355.32,5144,83,355.32,5144,95,355.32,5144,2768
357.07,83306.84,80011.18,357.07,83306.84,76532.43,357.07,83306.84,74335.33,357.07,83306.84,78363.35,357.07,17363.14,3564.28,357.07,17363.14,1992.18,357.07,17363.14,849.7,357.07,17363.14,10794.68,357.07,5456,94,357.07,5456,87,357.07,5456,99,357.07,5456,2980
358.82,91192.69,88159.25,358.82,91192.69,83988.27,358.82,91192.69,81902.79,358.82,91192.69,86073.76,358.82,18350.71,3725.9,358.82,18350.71,2040.38,358.82,18350.71,887.12,358.82,18350.71,11602.26,358.82,5792,100,358.82,5792,95,358.82,5792,104,358.82,5792,3220
360.57,98116.37,95224.92,360.57,98116.37,90984.14,360.57,98116.37,88478.22,360.57,98116.37,93104.53,360.57,20039.05,3857.65,360.57,20039.05,2168.31,360.57,20039.05,974.12,360.57,20039.05,12802.72,360.57,6192,104,360.57,6192,98,360.57,6192,110,360.57,6192,3480
362.31,108341.94,103553.35,362.31,108341.94,99562.86,362.31,108341.94,96969.03,362.31,108341.94,101957.15,362.31,22015.01,4141.17,362.31,22015.01,2304.36,362.31,22015.01,1062.01,362.31,22015.01,14213.57,362.31,6592,111,362.31,6592,103,362.31,6592,116,362.31,6592,3738
364.05,112415.29,108470.9,364.05,112415.29,103540.4,364.05,112415.29,100582.1,364.05,112415.29,106893.14,364.05,23496.33,4247.62,364.05,23496.33,2446.41,364.05,23496.33,1149.28,364.05,23496.33,15256.49,364.05,7000,118,364.05,7000,113,364.05,7000,125,364.05,7000,3990
365.79,120033.6,115378,365.79,120033.6,110722.4,365.79,120033.6,108495.8,365.79,120033.6,113961.08,365.79,25559.8,4472.96,365.79,25559.8,2646.27,365.79,25559.8,1243.26,365.79,25559.8,16683.33,365.79,7336,120,365.79,7336,115,365.79,7336,126,365.79,7336,4220
367.53,128254.46,123457.95,367.53,128254.46,118452.9,367.53,128254.46,115324.74,367.53,128254.46,120955.43,367.53,26574.37,4653.96,367.53,26574.37,2726.28,367.53,26574.37,1301.18,367.53,26574.37,17328.42,367.53,7704,125,367.53,7704,117,367.53,7704,134,367.53,7704,4412
