,Wavelength,Reference,Raw_Irr_000,Raw_Irr_001,Raw_Irr_002,Raw_Irr_003,Irr_000,Irr_001,Irr_002,Irr_003,Avg_Irr
125,502.35,459405.4,482766.92,436988.93,427689.68,423077.86,0.48276692,0.43698893,0.42768968,0.42307786,0.44263084750000004
126,503.99,463621.87,487988.21,440872.61,431831.71,427384.76,0.48798821000000003,0.44087261,0.43183171000000004,0.42738476000000003,0.44701932250000004
127,505.64,464438.19,488923.88,441711.74,433095.08,428212.3,0.48892388,0.44171173999999996,0.43309508,0.4282123,0.44798574999999996
128,507.29,461146.1,484922.34,438288.4,429420.88,424757.49,0.48492234,0.4382884,0.42942088,0.42475749,0.44434727749999997
129,508.93,461710.43,485510.66,438923.72,430186.49,425713.03,0.48551066,0.43892371999999996,0.43018649,0.42571303000000005,0.44508347499999995
130,510.58,458327.8,481612.49,435636.58,426525.18,422301.12,0.48161249,0.43563658,0.42652518,0.42230112,0.4415188425
131,512.22,448436.19,471509.46,426521.85,418163.5,413422.41,0.47150946000000005,0.42652185,0.4181635,0.41342240999999996,0.432404305
132,513.86,435169.56,457118.05,413824.84,405265.64,401003.8,0.45711805,0.41382484,0.40526564000000004,0.40100379999999997,0.41930308250000004
133,515.51,416835.08,438328.87,396172.14,388513.85,384323.46,0.43832887,0.39617214,0.38851385,0.38432346,0.40183458
134,517.15,414282.24,435534.09,393877.51,386106.04,381980.89,0.43553409000000004,0.39387751,0.38610604,0.38198089,0.39937463250000005
135,518.79,433929.14,455972.37,412373.27,404088.31,399252.3,0.45597237,0.41237327,0.40408831,0.3992523,0.4179215625
136,520.43,445274.8,467266.5,422522.15,414265.75,410156.57,0.4672665,0.42252215000000004,0.41426575,0.41015657,0.42855274250000003
137,522.07,451660.95,474574.07,428978.11,420764.7,416043.91,0.47457407,0.42897810999999997,0.4207647,0.41604390999999996,0.4350901975
