Wavelength,WMS_47,WMS_48,WMS_49,WMS_50,WMS_51,WMS_52,WMS_53,WMS_54,WMS_55,WMS_56,WMS_59,WMS_60,WMS_61,WMS_62,WMS_64,WMS_65,WMS_66,WMS_67,WMS_68,WMS_69,WMS_70,WMS_71
317,0.002495235,0.002551088,0.002500379,0.002500379,0.003730798,0.003588757,0.003775972,0.003680076,0.003682723,0.003633421,0.003643844,0.004157303,0.007220898,0.004330938,0.010645122,0.006697766,0.006875579,0.005090525,0.005979803,0.010753881,0.010075934,0.009913539
318,0.002468875,0.002472041,0.002517547,0.002517547,0.003748935,0.003712261,0.003847428,0.003657252,0.003597922,0.003522974,0.003565459,0.004276855,0.00722367,0.004254834,0.010480136,0.006616745,0.006867138,0.004979866,0.006017454,0.01032629,0.010007736,0.010133307
319,0.002257931,0.002511079,0.002564687,0.002564687,0.003752638,0.003709328,0.003856745,0.003672932,0.003576225,0.003379698,0.003561855,0.004385038,0.007386486,0.004495021,0.010599934,0.006524728,0.0067611,0.004873032,0.006217418,0.010114973,0.010378402,0.010157042
320,0.002175143,0.002656357,0.002553985,0.002553985,0.003718736,0.00368402,0.003802273,0.003798549,0.003565841,0.003337334,0.003544875,0.004293874,0.007409703,0.004771017,0.010781569,0.006537055,0.006746035,0.004735799,0.006439242,0.010369226,0.010786724,0.00992963
321,0.002276939,0.00268355,0.002513312,0.002513312,0.00369927,0.003785149,0.00380994,0.003885662,0.003492354,0.003327799,0.003453113,0.004214079,0.007272877,0.004730723,0.010678421,0.006560379,0.006828567,0.004594742,0.006498755,0.010407205,0.010756181,0.009898253
322,0.002332316,0.002558964,0.002503863,0.002503863,0.00365672,0.003750468,0.003752594,0.003881528,0.003447389,0.003265559,0.00335635,0.004239083,0.007202405,0.004636244,0.010713682,0.006650856,0.006732303,0.004782496,0.006526839,0.010564821,0.010774437,0.010166861
323,0.002285898,0.002407186,0.002535087,0.002535087,0.003633636,0.003614658,0.00368758,0.003790281,0.00347591,0.003212854,0.003351348,0.004343882,0.007268758,0.004582059,0.010852091,0.006718009,0.006553506,0.005111305,0.006495412,0.010684457,0.010823236,0.010466846
324,0.002386907,0.002378203,0.002564789,0.002564789,0.003635019,0.003469373,0.003677034,0.003721638,0.003494843,0.003250945,0.003524442,0.004341341,0.007429638,0.004546281,0.011137374,0.006837396,0.00652513,0.005242986,0.006390859,0.010656153,0.010833422,0.010508677
325,0.002534334,0.002500998,0.002563267,0.002563267,0.003659485,0.003459897,0.003731502,0.003744242,0.003485254,0.003341742,0.003702538,0.004234001,0.007524164,0.004564687,0.011284249,0.00688963,0.006675551,0.005045858,0.006317734,0.010508213,0.010794809,0.010250522
326,0.002520574,0.002533405,0.002566825,0.002566825,0.003597777,0.003474029,0.003772742,0.003738526,0.003394388,0.00352953,0.003846187,0.004150525,0.007667668,0.004536238,0.011365923,0.006851553,0.006782374,0.005005796,0.006239813,0.010433742,0.01072846,0.010037737
327,0.002359388,0.002443017,0.002571904,0.002571904,0.003511603,0.003497637,0.003759514,0.003710206,0.003313111,0.003626522,0.00381174,0.004174389,0.007716646,0.004489382,0.011300723,0.006761241,0.006738776,0.005162862,0.006235019,0.010507212,0.010700724,0.010083107
328,0.002059098,0.002338773,0.00234272,0.00234272,0.003550433,0.003523556,0.003657556,0.003803233,0.003303546,0.003539135,0.003757002,0.00416962,0.007841592,0.004440086,0.011238102,0.007017021,0.006647286,0.005095732,0.006322696,0.010660342,0.010791915,0.01021672
329,0.001924092,0.002370759,0.002222493,0.002222493,0.003677131,0.003471281,0.003617367,0.0039051,0.003399376,0.00331265,0.003672353,0.004187483,0.007869837,0.004403794,0.011226268,0.007107713,0.006608589,0.004867304,0.006476708,0.010765225,0.010637037,0.010296914
330,0.001928191,0.002416601,0.002336529,0.002336529,0.003678825,0.003416696,0.003665907,0.003885619,0.003423495,0.003270543,0.003607997,0.004233977,0.007822113,0.004369942,0.011211854,0.006852315,0.006617784,0.004863073,0.00653825,0.010790448,0.010363233,0.010288865
331,0.002109375,0.002349057,0.002361144,0.002361144,0.003639147,0.003291022,0.003726947,0.003767905,0.003362189,0.003273282,0.003539179,0.004270923,0.00782215,0.004496425,0.011335633,0.006808758,0.006747651,0.004882069,0.006672363,0.010701527,0.010325009,0.01056399
332,0.002286461,0.00223567,0.002271723,0.002271723,0.003597775,0.003219935,0.003739448,0.003669671,0.003276764,0.003318127,0.003534717,0.004261374,0.007869911,0.004656761,0.011473825,0.007020599,0.006868323,0.004905296,0.006744935,0.010587384,0.010560589,0.010847165
333,0.00220768,0.00218794,0.002211311,0.002211311,0.003517304,0.003145297,0.003602024,0.003592568,0.003185068,0.00331758,0.003587391,0.004195306,0.008187852,0.004723314,0.011606265,0.007214585,0.006995033,0.004978558,0.006673088,0.010572341,0.010723273,0.010853094
334,0.001951814,0.002253598,0.002240321,0.002240321,0.003478205,0.003141747,0.003452099,0.003613699,0.003178796,0.003272188,0.003644526,0.004138788,0.008458032,0.004629531,0.011600512,0.007196732,0.007001069,0.005028592,0.006528668,0.010671441,0.010650376,0.010575847
335,0.001968717,0.002271407,0.002291949,0.002291949,0.003445638,0.00304878,0.003345569,0.003498091,0.003118787,0.003163096,0.003572356,0.004115549,0.00859941,0.004389393,0.011916693,0.007037495,0.006858028,0.005057391,0.006299801,0.010868222,0.010546913,0.010505613
336,0.001969516,0.002189297,0.002242591,0.002242591,0.003353333,0.002942362,0.003389062,0.003471092,0.00291663,0.003169894,0.003457079,0.004090704,0.008599555,0.004343201,0.011998195,0.006885433,0.006596164,0.005112517,0.00631719,0.010813157,0.010520909,0.010723752
337,0.001697545,0.002155036,0.002170615,0.002170615,0.003254496,0.00292536,0.003389158,0.003580831,0.00276821,0.003240392,0.003471106,0.00403258,0.008728501,0.004443366,0.011757763,0.006874754,0.006483379,0.00518888,0.006419024,0.01066041,0.010525472,0.01073488
338,0.001500701,0.002013932,0.002149848,0.002149848,0.00317636,0.002841459,0.003291936,0.00360622,0.002808989,0.00317047,0.003502327,0.00393553,0.008919924,0.00449412,0.011785346,0.006898957,0.006491368,0.005253632,0.006572628,0.010561942,0.010549777,0.010840485
339,0.001575828,0.001907089,0.002201058,0.002201058,0.00319706,0.002774561,0.003194617,0.00352187,0.002998186,0.003030049,0.003519521,0.003896603,0.0089824,0.004444709,0.012053361,0.006933838,0.006612143,0.005242021,0.006624397,0.010616221,0.010569519,0.010934961
340,0.001590197,0.001869914,0.002201793,0.002201793,0.003147585,0.002674137,0.003041575,0.003442229,0.00302763,0.002986532,0.003449707,0.003965108,0.009083177,0.00436914,0.01219297,0.006978865,0.006591306,0.005105005,0.006575201,0.010822997,0.010556588,0.010863636
