Wavelength,WMS_04,WMS_05,WMS_06,WMS_07,WMS_09,WMS_13,WMS_14,WMS_15,WMS_16,WMS_17,WMS_18,WMS_19,WMS_20,WMS_22,WMS_23,WMS_24,WMS_25,WMS_26,WMS_27,WMS_29,WMS_30,WMS_31,WMS_32,WMS_33,WMS_34,WMS_35,WMS_36,WMS_37,WMS_38,WMS_39,WMS_47,WMS_48,WMS_49,WMS_50,WMS_51,WMS_52,WMS_53,WMS_54,WMS_55,WMS_56,WMS_59,WMS_60,WMS_61,WMS_62,WMS_64,WMS_65,WMS_66,WMS_67,WMS_68,WMS_69,WMS_70,WMS_71
590,0.019168469,0.018420751,0.015966855,0.0163286,0.014866951,0.009261466,0.008419086,0.007725475,0.008312653,0.018732899,0.01027038,0.009561524,0.00878742,0.00692311,0.007801146,0.007347551,0.007801146,0.010076579,0.00574894,0.018004447,0.015378928,0.0102337,0.022224056,0.016990772,0.021108833,0.015501832,0.019095102,0.00616074,0.010918903,0.015501832,0.007003537,0.006740094,0.004640036,0.004640036,0.007430101,0.009002236,0.008005479,0.006017706,0.006264974,0.006026583,0.006186706,0.00788127,0.008539809,0.008049074,0.013893897,0.010532393,0.01189258,0.008732641,0.010535028,0.014832348,0.016069709,0.014117626
591,0.019154454,0.0184053,0.015950557,0.016298084,0.014839893,0.00925129,0.008377878,0.007689575,0.008276352,0.018655441,0.010219113,0.009519289,0.008753966,0.006895746,0.007756855,0.007303475,0.007756855,0.010015361,0.005682213,0.017950323,0.015340711,0.010176992,0.022119099,0.01691934,0.02115432,0.015460724,0.018975371,0.006099742,0.010873032,0.015460724,0.006905882,0.006672105,0.004608395,0.004608395,0.007308312,0.008844996,0.007873056,0.00596347,0.006209279,0.005978947,0.006150117,0.007804714,0.00845411,0.007960176,0.013820321,0.010464916,0.011827043,0.00865072,0.010463338,0.014779485,0.01601271,0.014057169
592,0.019138393,0.018380689,0.015922438,0.016263057,0.014807043,0.009230314,0.00833286,0.007651614,0.008232317,0.018539283,0.010168203,0.009474337,0.008716419,0.006865346,0.007708683,0.007257731,0.007708683,0.009941427,0.005593591,0.017919133,0.015279562,0.010108849,0.021979992,0.016815124,0.021085668,0.015427542,0.018840291,0.00603745,0.010763996,0.015427542,0.006789997,0.006589542,0.004565789,0.004565789,0.007175318,0.008668479,0.007724879,0.005912198,0.006151281,0.00592796,0.00610594,0.00772958,0.008383376,0.007876702,0.013736112,0.01039227,0.011746559,0.008555723,0.010386328,0.014709778,0.015930079,0.013975495
593,0.01911249,0.018345218,0.015881988,0.016221453,0.014759342,0.009187681,0.008285915,0.007610886,0.008184766,0.018556146,0.010107988,0.009423413,0.008675068,0.00682478,0.007657959,0.007206804,0.007657959,0.009874486,0.005510776,0.017906543,0.015244537,0.010005617,0.021811794,0.016698496,0.020963938,0.015353103,0.018666833,0.005974739,0.010705518,0.015353103,0.006739756,0.006553012,0.004546445,0.004546445,0.007116769,0.008593488,0.007661313,0.005889384,0.00612614,0.005906897,0.006085062,0.007696034,0.008346836,0.007844242,0.013691027,0.010360122,0.011704346,0.008512385,0.010354056,0.014666153,0.015889,0.01393021
594,0.019081198,0.018304586,0.015837166,0.016168299,0.01470455,0.009144443,0.008231228,0.007563441,0.008133699,0.018585976,0.010039125,0.009365882,0.008630437,0.006782348,0.007600156,0.007149865,0.007600156,0.009802,0.005432317,0.01787625,0.015215543,0.009906871,0.021652483,0.016589556,0.020871464,0.015273431,0.018493808,0.005907989,0.010680608,0.015273431,0.006625946,0.006463291,0.004505362,0.004505362,0.006989666,0.0084291,0.007520301,0.005835333,0.006069466,0.005863292,0.006041984,0.00762023,0.008266428,0.007765442,0.0135944,0.010287362,0.011613976,0.008422587,0.010275613,0.014578581,0.015805891,0.013834447
595,0.019044731,0.018258996,0.015788141,0.016104049,0.014642943,0.009100625,0.008169103,0.007509542,0.008079256,0.018628263,0.009961954,0.009302005,0.008582652,0.006738123,0.007535549,0.007087148,0.007535549,0.009724187,0.005358043,0.017828951,0.015192342,0.009812435,0.021501709,0.016488002,0.0208071,0.01518873,0.0183212,0.005837359,0.010687952,0.01518873,0.006562378,0.0064101,0.004483622,0.004483622,0.006921112,0.008339703,0.007442854,0.005804096,0.006037932,0.00584075,0.006019783,0.007577972,0.008222561,0.007719102,0.013542857,0.010246751,0.011565818,0.008376126,0.010229441,0.014534634,0.01576386,0.013783969
596,0.018987328,0.018192344,0.015726269,0.016017041,0.014557998,0.00904382,0.008091944,0.007443171,0.008015807,0.018605127,0.009866227,0.009218679,0.008514776,0.006680024,0.007451994,0.007007289,0.007451994,0.009637602,0.005266037,0.017733668,0.015136297,0.009680394,0.021277555,0.016332522,0.020720357,0.015088249,0.018096163,0.005746371,0.01063666,0.015088249,0.006373228,0.00625935,0.004416016,0.004416016,0.00673187,0.008079817,0.007226069,0.005723367,0.005951205,0.005775009,0.005953138,0.007458636,0.00811064,0.007587034,0.013396466,0.010134201,0.011428348,0.0082404,0.010099749,0.014416204,0.015638745,0.013643837
597,0.018912897,0.018111785,0.015651026,0.015917056,0.014461281,0.00897418,0.008007396,0.007368226,0.007943618,0.018584344,0.009760693,0.00912669,0.00843846,0.00661617,0.007360403,0.006920428,0.007360403,0.00954055,0.005171174,0.017633375,0.015070832,0.009536247,0.021034643,0.016164028,0.020608674,0.014979245,0.017852811,0.005650408,0.01057808,0.014979245,0.006149535,0.00608598,0.004335648,0.004335648,0.006516944,0.007783416,0.006982451,0.005629506,0.005849832,0.005696058,0.005875532,0.007317799,0.007989648,0.007436312,0.013228303,0.010005088,0.011265137,0.008084736,0.009948155,0.014282894,0.015485198,0.01348422
598,0.018804161,0.018004238,0.015547917,0.015792691,0.014343152,0.008877961,0.007909506,0.007276508,0.007853368,0.018586015,0.00963709,0.00901953,0.008347661,0.006542486,0.007254971,0.006821674,0.007254971,0.009421347,0.005074241,0.017533829,0.014991898,0.0093736,0.020766989,0.015979145,0.0204446,0.014854449,0.017580318,0.005548119,0.010517696,0.014854449,0.006051424,0.006010169,0.004301147,0.004301147,0.006422705,0.007657503,0.006878173,0.005585135,0.005803654,0.005660306,0.005842372,0.007254038,0.007936709,0.007371319,0.013154987,0.009947913,0.011191237,0.008018335,0.00988008,0.014224067,0.015414737,0.013414257
599,0.018689926,0.017890201,0.015438478,0.01565984,0.014214816,0.00878251,0.00779884,0.007177721,0.007758449,0.01856879,0.009503037,0.008900367,0.008249285,0.006463387,0.007138916,0.00671287,0.007138916,0.009295934,0.004974267,0.017403413,0.014895125,0.009196783,0.020470121,0.015776042,0.020278353,0.014715733,0.017288141,0.005435016,0.010447815,0.014715733,0.00580828,0.005834882,0.004214787,0.004214787,0.006192646,0.007346971,0.006635138,0.005482144,0.005690304,0.005562482,0.005760969,0.007098783,0.007799613,0.007200693,0.012979094,0.009810202,0.011009942,0.007848323,0.009711639,0.014067735,0.015244676,0.013242254
600,0.018573813,0.017773498,0.015326833,0.015524397,0.014083061,0.008687326,0.007683522,0.007076394,0.00766256,0.018545763,0.009365254,0.008776895,0.008148205,0.006382627,0.007019202,0.006600236,0.007019202,0.009168542,0.004874388,0.017260709,0.014790538,0.00901605,0.020161328,0.015565857,0.020109069,0.014571467,0.016988628,0.00531826,0.010375322,0.014571467,0.005582151,0.005688711,0.004133129,0.004133129,0.005984489,0.007066548,0.006426325,0.005387322,0.005584917,0.00545893,0.005682784,0.006952856,0.007667069,0.007037458,0.012814638,0.009675867,0.010843108,0.007692621,0.009550611,0.013919611,0.015086595,0.01307348
601,0.018463675,0.017659328,0.015221632,0.0154013,0.013963105,0.008591355,0.007579195,0.006981497,0.007578065,0.018549921,0.009237241,0.008664398,0.0080542,0.006309663,0.006910751,0.006494529,0.006910751,0.009049338,0.004789284,0.017133991,0.014687984,0.008860079,0.019864653,0.015366828,0.019918934,0.014434334,0.016704339,0.00521367,0.010319573,0.014434334,0.005501056,0.005642015,0.00410333,0.00410333,0.005912153,0.006970744,0.006356269,0.005351121,0.0055467,0.00541745,0.005652842,0.006898425,0.007618682,0.006979855,0.012752759,0.009622068,0.01078367,0.007640533,0.009489951,0.013868994,0.015028113,0.013006747
602,0.018375212,0.017564069,0.015134807,0.015297231,0.013858467,0.008507432,0.007487472,0.006898064,0.00750469,0.018534243,0.009125359,0.008565415,0.007970706,0.00624411,0.006814912,0.00640132,0.006814912,0.008948714,0.004710307,0.017001612,0.014589917,0.008717541,0.019600132,0.01518687,0.019754848,0.014311996,0.016452973,0.005119665,0.010265173,0.014311996,0.005367709,0.005568045,0.004056129,0.004056129,0.005790745,0.006809064,0.006240357,0.005288841,0.005479284,0.005343135,0.005600888,0.006803433,0.007533148,0.006877375,0.012647164,0.009528955,0.010676008,0.007546948,0.009386714,0.013777002,0.014929304,0.012900509
603,0.018310229,0.017489299,0.015067889,0.015213778,0.013770423,0.008436562,0.007409405,0.006827051,0.007443359,0.018497075,0.009030952,0.008481075,0.007898598,0.006186586,0.006732736,0.006321651,0.006732736,0.008868218,0.004637966,0.0168631,0.014496713,0.008589557,0.019370445,0.015027571,0.019618982,0.014205687,0.016237274,0.005037128,0.010212234,0.014205687,0.005315458,0.005540771,0.004038728,0.004038728,0.005741673,0.006743187,0.006194502,0.005262764,0.005450084,0.005310299,0.005578877,0.006762874,0.007496001,0.006832498,0.012603448,0.00948964,0.010627783,0.007505451,0.009344137,0.013735629,0.014888977,0.012861004
