WMS_47_IRR_000,WMS_47_IRR_000,WMS_47_IRR_000,WMS_47_IRR_001,WMS_47_IRR_001,WMS_47_IRR_001,WMS_47_IRR_002,WMS_47_IRR_002,WMS_47_IRR_002,WMS_47_IRR_003,WMS_47_IRR_003,WMS_47_IRR_003,WMS_47_PANEL_000,WMS_47_PANEL_000,WMS_47_PANEL_000,WMS_47_PANEL_001,WMS_47_PANEL_001,WMS_47_PANEL_001,WMS_47_PANEL_002,WMS_47_PANEL_002,WMS_47_PANEL_002,WMS_47_PANEL_003,WMS_47_PANEL_003,WMS_47_PANEL_003,WMS_47_WATER_000,WMS_47_WATER_000,WMS_47_WATER_000,WMS_47_WATER_001,WMS_47_WATER_001,WMS_47_WATER_001,WMS_47_WATER_002,WMS_47_WATER_002,WMS_47_WATER_002,WMS_47_WATER_003,WMS_47_WATER_003,WMS_47_WATER_003
339.48,17272.39,15893.5,339.48,17272.39,15022.62,339.48,17272.39,15240.34,339.48,17272.39,15820.93,339.48,5164.68,1914.99,339.48,5164.68,1049.38,339.48,5164.68,379.61,339.48,5164.68,4158.83,339.48,2064,48,339.48,2064,49,339.48,2064,48,339.48,2064,1876
341.25,18296.12,17344.73,341.25,18296.12,15881.04,341.25,18296.12,16283.55,341.25,18296.12,16905.62,341.25,5447.55,1988.94,341.25,5447.55,1097.35,341.25,5447.55,384.56,341.25,5447.55,4546.16,341.25,2200,50,341.25,2200,49,341.25,2200,52,341.25,2200,2004
343.02,19664.93,18412.85,343.02,19664.93,17013.47,343.02,19664.93,17381.73,343.02,19664.93,18155.07,343.02,5974.88,2039.21,343.02,5974.88,1147.06,343.02,5974.88,418.04,343.02,5974.88,5118.42,343.02,2288,53,343.02,2288,52,343.02,2288,50,343.02,2288,2144
344.78,21909.3,20520.69,344.78,21909.3,19286.36,344.78,21909.3,19247.79,344.78,21909.3,19980.67,344.78,6334.63,2080.49,344.78,6334.63,1174.81,344.78,6334.63,442.49,344.78,6334.63,5589.38,344.78,2400,58,344.78,2400,54,344.78,2400,56,344.78,2400,2328
346.54,22559.14,21419.79,346.54,22559.14,19824.7,346.54,22559.14,20204.49,346.54,22559.14,21002.03,346.54,6828.02,2182.04,346.54,6828.02,1205.87,346.54,6828.02,475.04,346.54,6828.02,6065.87,346.54,2560,60,346.54,2560,58,346.54,2560,59,346.54,2560,2516
348.3,24193.53,22811.04,348.3,24193.53,21351.75,348.3,24193.53,21697.37,348.3,24193.53,22427.02,348.3,7099.92,2175.78,348.3,7099.92,1238.84,348.3,7099.92,484.09,348.3,7099.92,6568.99,348.3,2672,63,348.3,2672,58,348.3,2672,61,348.3,2672,2684
350.06,27317.97,25691.9,350.06,27317.97,24228.44,350.06,27317.97,24350.39,350.06,27317.97,25244.73,350.06,7794.08,2299.36,350.06,7794.08,1327.8,350.06,7794.08,518.17,350.06,7794.08,7351.48,350.06,2856,67,350.06,2856,63,350.06,2856,68,350.06,2856,2904
351.82,28703.09,26995.55,351.82,28703.09,25450.62,351.82,28703.09,25816.52,351.82,28703.09,26426.36,351.82,8550.98,2439.94,351.82,8550.98,1382.26,351.82,8550.98,568.01,351.82,8550.98,8170.44,351.82,3008,69,351.82,3008,67,351.82,3008,70,351.82,3008,3116
353.57,31717.99,29767.42,353.57,31717.99,28240.89,353.57,31717.99,28368.1,353.57,31717.99,29428.19,353.57,9545.8,2562.79,353.57,9545.8,1487.12,353.57,9545.8,620.12,353.57,9545.8,9240.15,353.57,3176,74,353.57,3176,69,353.57,3176,72,353.57,3176,3340
355.32,35059.82,32840.84,355.32,35059.82,30976.9,355.32,35059.82,31509.45,355.32,35059.82,32530.18,355.32,10159.97,2634.94,355.32,10159.97,1554.85,355.32,10159.97,655.77,355.32,10159.97,10053.15,355.32,3368,77,355.32,3368,74,355.32,3368,75,355.32,3368,3600
357.07,38632.4,36252.21,357.07,38632.4,33963.56,357.07,38632.4,34421.29,357.07,38632.4,35657.16,357.07,11507.54,2889.61,357.07,11507.54,1731.22,357.07,11507.54,744.68,357.07,11507.54,11545.72,357.07,3584,83,357.07,3584,76,357.07,3584,79,357.07,3584,3848
358.82,42088.93,39813.85,358.82,42088.93,37538.78,358.82,42088.93,37965.35,358.82,42088.93,39292.48,358.82,12292.95,2927.5,358.82,12292.95,1767.9,358.82,12292.95,792.07,358.82,12292.95,12356.32,358.82,3800,87,358.82,3800,84,358.82,3800,85,358.82,3800,4148
360.57,45781.21,43082.53,360.57,45781.21,40769.38,360.57,45781.21,41058.52,360.57,45781.21,42359.67,360.57,13307.58,3080.94,360.57,13307.58,1896.46,360.57,13307.58,860.85,360.57,13307.58,13657.1,360.57,4064,94,360.57,4064,90,360.57,4064,89,360.57,4064,4500
362.31,50280.24,47187.61,362.31,50280.24,44494.02,362.31,50280.24,45142.48,362.31,50280.24,46439.39,362.31,14641.05,3246.14,362.31,14641.05,1997.11,362.31,14641.05,935.1,362.31,14641.05,15202.11,362.31,4312,99,362.31,4312,95,362.31,4312,94,362.31,4312,4820
364.05,51967.42,49403.56,364.05,51967.42,46839.71,364.05,51967.42,46938.32,364.05,51967.42,48417.46,364.05,15673.18,3347.02,364.05,15673.18,2137.25,364.05,15673.18,1011.5,364.05,15673.18,16318.39,364.05,4576,104,364.05,4576,95,364.05,4576,100,364.05,4576,5160
365.79,55968.45,52324.93,365.79,55968.45,49491.09,365.79,55968.45,50047.74,365.79,55968.45,51667.08,365.79,17058.39,3570.04,365.79,17058.39,2257.32,365.79,17058.39,1097.4,365.79,17058.39,17933.53,365.79,4856,110,365.79,4856,106,365.79,4856,107,365.79,4856,5468
367.53,59017.91,55576.93,367.53,59017.91,52761.59,367.53,59017.91,53074.41,367.53,59017.91,54794.89,367.53,17679.53,3662.58,367.53,17679.53,2340.75,367.53,17679.53,1135.95,367.53,17679.53,18684.67,367.53,5056,112,367.53,5056,107,367.53,5056,110,367.53,5056,5748
369.27,60037.57,56433.26,369.27,60037.57,53137.89,369.27,60037.57,54013.22,369.27,60037.57,55815.38,369.27,18719.29,3794.07,369.27,18719.29,2475.91,369.27,18719.29,1213.55,369.27,18719.29,19723.6,369.27,5264,116,369.27,5264,115,369.27,5264,114,369.27,5264,5992
371,63509.15,59828.99,371,63509.15,56569.41,371,63509.15,57147.72,371,63509.15,58882.66,371,19818.24,4040.2,371,19818.24,2650.94,371,19818.24,1314.84,371,19818.24,20824.75,371,5504,122,371,5504,117,371,5504,115,371,5504,6236
372.73,70034.74,65726.61,372.73,70034.74,62081.27,372.73,70034.74,62744.06,372.73,70034.74,64898.13,372.73,21188.69,4287.15,372.73,21188.69,2841.14,372.73,21188.69,1413.31,372.73,21188.69,22264.11,372.73,5760,124,372.73,5760,122,372.73,5760,119,372.73,5760,6512
374.46,74076.37,69881.29,374.46,74076.37,65796.6,374.46,74076.37,66624.57,374.46,74076.37,68777.32,374.46,22636.19,4556.64,374.46,22636.19,3079.4,374.46,22636.19,1536.03,374.46,22636.19,23738.6,374.46,6056,132,374.46,6056,124,374.46,6056,127,374.46,6056,6864
376.19,78337.91,73593.5,376.19,78337.91,69069.77,376.19,78337.91,70283.45,376.19,78337.91,72490.15,376.19,23882.76,4817.68,376.19,23882.76,3275.43,376.19,23882.76,1648.73,376.19,23882.76,25131.25,376.19,6440,138,376.19,6440,131,376.19,6440,136,376.19,6440,7284
377.92,83554.96,78193.14,377.92,83554.96,74060.08,377.92,83554.96,74842.01,377.92,83554.96,77243.65,377.92,25483.95,5170.44,377.92,25483.95,3572.17,377.92,25483.95,1793.45,377.92,25483.95,26809.71,377.92,6840,149,377.92,6840,139,377.92,6840,140,377.92,6840,7740
379.64,87917.51,82812.63,379.64,87917.51,78388.39,379.64,87917.51,78785.44,379.64,87917.51,81564.76,379.64,26447.86,5483.45,379.64,26447.86,3819.6,379.64,26447.86,1902.57,379.64,26447.86,27750,379.64,7208,154,379.64,7208,146,379.64,7208,151,379.64,7208,8176
381.37,88445.33,83378.72,381.37,88445.33,78752.69,381.37,88445.33,79413.55,381.37,88445.33,81891.78,381.37,28250.15,6032.58,381.37,28250.15,4222.81,381.37,28250.15,2067.26,381.37,28250.15,29486.1,381.37,7568,159,381.37,7568,150,381.37,7568,152,381.37,7568,8524
383.09,94795.68,89245.58,383.09,94795.68,83917.48,383.09,94795.68,84861,383.09,94795.68,87802.55,383.09,29069.29,6482.25,383.09,29069.29,4537.58,383.09,29069.29,2167.95,383.09,29069.29,30120.86,383.09,7944,165,383.09,7944,161,383.09,7944,162,383.09,7944,8940
384.81,101930.59,96090.24,384.81,101930.59,90360.09,384.81,101930.59,91627.34,384.81,101930.59,94547.51,384.81,31117.77,7327.73,384.81,31117.77,5083.53,384.81,31117.77,2380.44,384.81,31117.77,32178.93,384.81,8568,176,384.81,8568,171,384.81,8568,172,384.81,8568,9592
386.53,111210.05,104266.31,386.53,111210.05,98204.32,386.53,111210.05,99361.61,386.53,111210.05,102723.26,386.53,33382.88,8246.87,386.53,33382.88,5712.09,386.53,33382.88,2601.86,386.53,33382.88,34286.65,386.53,9296,190,386.53,9296,186,386.53,9296,183,386.53,9296,10400
388.25,120460.13,112794.49,388.25,120460.13,106223.93,388.25,120460.13,107592.8,388.25,120460.13,111151.85,388.25,35814.33,9413.1,388.25,35814.33,6426.25,388.25,35814.33,2861.53,388.25,35814.33,36691.59,388.25,10160,209,388.25,10160,195,388.25,10160,197,388.25,10160,11300
389.96,129539.36,121619.45,389.96,129539.36,114675.97,389.96,129539.36,115869.38,389.96,129539.36,120046.32,389.96,39280.37,10912.76,389.96,39280.37,7398.13,389.96,39280.37,3201.45,389.96,39280.37,40185.13,389.96,11152,228,389.96,11152,215,389.96,11152,216,389.96,11152,12388
391.68,139846.89,131106.45,391.68,139846.89,123895.6,391.68,139846.89,125315.92,391.68,139846.89,129413,391.68,42768.86,12655.81,391.68,42768.86,8444.14,391.68,42768.86,3552.51,391.68,42768.86,43545.97,391.68,12184,244,391.68,12184,232,391.68,12184,236,391.68,12184,13476
393.39,150293.41,140813.53,393.39,150293.41,132718.35,393.39,150293.41,134262.83,393.39,150293.41,138736.48,393.39,45677.84,14299.74,393.39,45677.84,9359.21,393.39,45677.84,3842.63,393.39,45677.84,46070.92,393.39,13248,267,393.39,13248,251,393.39,13248,252,393.39,13248,14632
395.1,167317.29,157344.04,395.1,167317.29,147689.08,395.1,167317.29,149704.95,395.1,167317.29,154638.53,395.1,50001.32,16486.13,395.1,50001.32,10653.09,395.1,50001.32,4250.64,395.1,50001.32,50292.64,395.1,14888,295,395.1,14888,279,395.1,14888,283,395.1,14888,16364
396.81,181131.08,170116.36,396.81,181131.08,160427.47,396.81,181131.08,161957.3,396.81,181131.08,167311.68,396.81,54528.79,18969.91,396.81,54528.79,11982.36,396.81,54528.79,4687.48,396.81,54528.79,54722.89,396.81,16632,326,396.81,16632,312,396.81,16632,312,396.81,16632,18244
398.52,202238.06,189635.99,398.52,202238.06,178546.17,398.52,202238.06,180864.95,398.52,202238.06,186762.72,398.52,60407.61,21862.16,398.52,60407.61,13608.72,398.52,60407.61,5232.43,398.52,60407.61,60395.01,398.52,18920,369,398.52,18920,351,398.52,18920,355,398.52,18920,20684
400.23,211028.84,197395.23,400.23,211028.84,186001.42,400.23,211028.84,188582.07,400.23,211028.84,194765.89,400.23,66025.42,24920.15,400.23,66025.42,15141.12,400.23,66025.42,5729.66,400.23,66025.42,65654.77,400.23,21024,409,400.23,21024,389,400.23,21024,394,400.23,21024,22896
401.93,220933.65,207283.74,401.93,220933.65,195096.31,401.93,220933.65,197387.55,401.93,220933.65,204115.01,401.93,68888.86,27309.68,401.93,68888.86,16233.96,401.93,68888.86,6013.92,401.93,68888.86,68226,401.93,22512,434,401.93,22512,416,401.93,22512,417,401.93,22512,24384
403.64,224449.45,210235.28,403.64,224449.45,197749.86,403.64,224449.45,200150.9,403.64,224449.45,206969.86,403.64,71859.61,29889.36,403.64,71859.61,17315.13,403.64,71859.61,6299.15,403.64,71859.61,70560.08,403.64,23520,454,403.64,23520,430,403.64,23520,437,403.64,23520,25280
