WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_003,WMS_50_PANEL_003,WMS_50_PANEL_003,WAVELENGTH,REFERENCC,WMS_50_WATER_000,WMS_50_WATER_001,WMS_50_WATER_002,SKY
346.54,31749.91,28711.64,346.54,31749.91,35623.7,346.54,31749.91,28255.9,346.54,31749.91,30458.64,346.54,11860.3,2965.07,346.54,11860.3,1607.82,346.54,11860.3,623.81,346.54,11860.3,5877.95,346.54,4816,71,69,70,2024
348.3,33870.94,31105.97,348.3,33870.94,38018.4,348.3,33870.94,30261.11,348.3,33870.94,32411.65,348.3,12159.39,2935.74,348.3,12159.39,1696.9,348.3,12159.39,645.45,348.3,12159.39,6319.14,348.3,5024,73,74,74,2184
350.06,37643.51,34635.28,350.06,37643.51,42765.63,350.06,37643.51,33984.86,350.06,37643.51,36423.96,350.06,13385.95,3109,350.06,13385.95,1759.61,350.06,13385.95,693.59,350.06,13385.95,7070.81,350.06,5312,81,76,80,2360
351.82,39761.51,36671.66,351.82,39761.51,44640.22,351.82,39761.51,35533.29,351.82,39761.51,38623.14,351.82,14415.78,3201.02,351.82,14415.78,1846.74,351.82,14415.78,747.09,351.82,14415.78,7834.67,351.82,5648,84,80,84,2534
353.57,44015.08,40113.93,353.57,44015.08,49357.95,353.57,44015.08,39181.05,353.57,44015.08,42234.12,353.57,16129.11,3479.75,353.57,16129.11,1998.51,353.57,16129.11,825.85,353.57,16129.11,8828.69,353.57,5904,86,82,90,2716
355.32,48284.91,44557.03,355.32,48284.91,54054.25,355.32,48284.91,43669.44,355.32,48284.91,46864.77,355.32,17233.96,3584.47,355.32,17233.96,2124.57,355.32,17233.96,869.41,355.32,17233.96,9566.51,355.32,6240,91,87,89,2918
357.07,52455.84,48519.37,357.07,52455.84,59413.34,357.07,52455.84,47329.27,357.07,52455.84,50991.11,357.07,19705.38,3920.71,357.07,19705.38,2316.78,357.07,19705.38,986.54,357.07,19705.38,11011.08,357.07,6672,100,93,97,3132
358.82,58393.65,53274.73,358.82,58393.65,65029.3,358.82,58393.65,52137.19,358.82,58393.65,55739.4,358.82,20783.96,3852.64,358.82,20783.96,2331.86,358.82,20783.96,1039.2,358.82,20783.96,11760.68,358.82,7088,102,96,107,3362
360.57,62840.74,57732.52,360.57,62840.74,70262.12,360.57,62840.74,56190.42,360.57,62840.74,60623.96,360.57,22628.07,4168.33,360.57,22628.07,2498.41,360.57,22628.07,1126.23,360.57,22628.07,12919.23,360.57,7504,107,102,108,3634
362.31,69035.57,63349.11,362.31,69035.57,77515.37,362.31,69035.57,62052.2,362.31,69035.57,66641.27,362.31,24686.73,4381.63,362.31,24686.73,2685.08,362.31,24686.73,1239.01,362.31,24686.73,14387.23,362.31,8016,111,111,115,3902
364.05,71788.01,66068.64,364.05,71788.01,80564.29,364.05,71788.01,64983.93,364.05,71788.01,69322.76,364.05,26614.84,4489.57,364.05,26614.84,2809.34,364.05,26614.84,1307.22,364.05,26614.84,15404.35,364.05,8480,121,120,118,4166
365.79,77019.87,70947.35,365.79,77019.87,86229.87,365.79,77019.87,69125.59,365.79,77019.87,74186.03,365.79,28782.56,4778.57,365.79,28782.56,3014.39,365.79,28782.56,1434.27,365.79,28782.56,16836.13,365.79,8992,127,123,127,4408
367.53,81957.73,75805.68,367.53,81957.73,92072.1,367.53,81957.73,74033.06,367.53,81957.73,79246.66,367.53,29851.41,4901.8,367.53,29851.41,3125.59,367.53,29851.41,1497.39,367.53,29851.41,17500.53,367.53,9376,129,125,133,4622
369.27,83414.12,76926.36,369.27,83414.12,93609.18,369.27,83414.12,75175.69,369.27,83414.12,80736.63,369.27,31301.11,5049.47,369.27,31301.11,3250.07,369.27,31301.11,1579.7,369.27,31301.11,18468.21,369.27,9792,133,131,135,4804
371,88429.13,81279.1,371,88429.13,98733.6,371,88429.13,79176.15,371,88429.13,85169.56,371,33228.87,5301.88,371,33228.87,3458.98,371,33228.87,1694.05,371,33228.87,19506.37,371,10176,139,136,144,4986
372.73,96877.71,88703.31,372.73,96877.71,108145.13,372.73,96877.71,86935.87,372.73,96877.71,93453.3,372.73,35692.34,5725.89,372.73,35692.34,3807.57,372.73,35692.34,1856.55,372.73,35692.34,20825.37,372.73,10672,145,140,147,5184
374.46,102117.2,93616.64,374.46,102117.2,114371.27,374.46,102117.2,91187.9,374.46,102117.2,98032.51,374.46,38216.95,6114.71,374.46,38216.95,4071.57,374.46,38216.95,1999.04,374.46,38216.95,22136.43,374.46,11168,153,147,156,5444
376.19,108018.05,98860.24,376.19,108018.05,120927.26,376.19,108018.05,96984.54,376.19,108018.05,103714.98,376.19,40362.75,6374.61,376.19,40362.75,4347.66,376.19,40362.75,2155.47,376.19,40362.75,23368.68,376.19,11888,158,156,164,5768
377.92,115167.33,106230.97,377.92,115167.33,129688.91,377.92,115167.33,103996.88,377.92,115167.33,111369.37,377.92,43131.22,6864.46,377.92,43131.22,4743.26,377.92,43131.22,2342.17,377.92,43131.22,24968.38,377.92,12688,168,163,170,6114
379.64,122176.98,112420.98,379.64,122176.98,137264.76,379.64,122176.98,110265.58,379.64,122176.98,118093.07,379.64,44735.66,7205.16,379.64,44735.66,4991.53,379.64,44735.66,2463.21,379.64,44735.66,25753.39,379.64,13360,178,172,180,6424
381.37,123250.71,113117.5,381.37,123250.71,138340.39,381.37,123250.71,110363.91,381.37,123250.71,118624.68,381.37,47613.28,7915.93,381.37,47613.28,5532.32,381.37,47613.28,2681.56,381.37,47613.28,27308.48,381.37,14016,183,180,187,6674
383.09,129983.3,119660.12,383.09,129983.3,145634.58,383.09,129983.3,116441.06,383.09,129983.3,125210.21,383.09,49149.86,8614.19,383.09,49149.86,6006.89,383.09,49149.86,2844.99,383.09,49149.86,27902.49,383.09,14752,191,183,198,6966
384.81,138956.19,128046.86,384.81,138956.19,156807.82,384.81,138956.19,125071.59,384.81,138956.19,134548.38,384.81,52771.16,9493.07,384.81,52771.16,6711.11,384.81,52771.16,3129.7,384.81,52771.16,29769.82,384.81,15904,203,200,208,7454
